# Context trajectories (TVD m below DF, NS/EW m from the package origin). STATUS: definitive = Equinor definitive survey; reconstructed = smooth path through official formation-pick coordinates
WELL,MD,TVD,NS,EW,STATUS
NO 15/9-17,1638.9,1638.8,397.6,3554.8,reconstructed
NO 15/9-17,1663.6,1663.5,397.7,3554.9,reconstructed
NO 15/9-17,1688.4,1688.3,397.9,3555.0,reconstructed
NO 15/9-17,1713.1,1713.0,398.1,3555.1,reconstructed
NO 15/9-17,1737.9,1737.8,398.3,3555.2,reconstructed
NO 15/9-17,1762.6,1762.5,398.5,3555.4,reconstructed
NO 15/9-17,1787.3,1787.2,398.7,3555.5,reconstructed
NO 15/9-17,1812.1,1812.0,398.9,3555.6,reconstructed
NO 15/9-17,1836.8,1836.7,399.1,3555.7,reconstructed
NO 15/9-17,1861.6,1861.5,399.3,3555.8,reconstructed
NO 15/9-17,1886.3,1886.2,399.6,3555.9,reconstructed
NO 15/9-17,1911.1,1911.0,399.8,3556.0,reconstructed
NO 15/9-17,1935.8,1935.7,400.0,3556.0,reconstructed
NO 15/9-17,1960.6,1960.4,400.2,3556.1,reconstructed
NO 15/9-17,1985.3,1985.2,400.5,3556.2,reconstructed
NO 15/9-17,2010.1,2009.9,400.7,3556.3,reconstructed
NO 15/9-17,2034.8,2034.7,401.0,3556.4,reconstructed
NO 15/9-17,2059.5,2059.4,401.2,3556.5,reconstructed
NO 15/9-17,2084.3,2084.2,401.5,3556.6,reconstructed
NO 15/9-17,2109.0,2108.9,401.7,3556.7,reconstructed
NO 15/9-17,2133.8,2133.6,402.0,3556.7,reconstructed
NO 15/9-17,2158.5,2158.4,402.3,3556.8,reconstructed
NO 15/9-17,2183.3,2183.1,402.6,3556.9,reconstructed
NO 15/9-17,2208.0,2207.9,402.9,3557.0,reconstructed
NO 15/9-17,2232.8,2232.6,403.2,3557.0,reconstructed
NO 15/9-17,2257.5,2257.3,403.5,3557.1,reconstructed
NO 15/9-17,2282.2,2282.1,403.8,3557.1,reconstructed
NO 15/9-17,2307.0,2306.8,404.1,3557.2,reconstructed
NO 15/9-17,2331.7,2331.6,404.5,3557.3,reconstructed
NO 15/9-17,2356.5,2356.3,404.8,3557.3,reconstructed
NO 15/9-17,2381.2,2381.1,405.2,3557.4,reconstructed
NO 15/9-17,2402.3,2402.1,405.5,3557.4,reconstructed
NO 15/9-17,2423.3,2423.2,405.9,3557.4,reconstructed
NO 15/9-17,2444.4,2444.2,406.4,3557.5,reconstructed
NO 15/9-17,2465.4,2465.2,406.9,3557.4,reconstructed
NO 15/9-17,2486.5,2486.3,407.2,3557.4,reconstructed
NO 15/9-17,2507.4,2507.2,407.6,3557.2,reconstructed
NO 15/9-17,2528.3,2528.1,407.9,3557.0,reconstructed
NO 15/9-17,2549.2,2549.0,408.1,3556.8,reconstructed
NO 15/9-17,2570.2,2570.0,408.4,3556.6,reconstructed
NO 15/9-17,2591.1,2590.9,408.6,3556.4,reconstructed
NO 15/9-17,2612.0,2611.8,408.9,3556.4,reconstructed
NO 15/9-17,2637.0,2636.8,409.1,3556.5,reconstructed
NO 15/9-17,2662.0,2661.8,409.3,3556.7,reconstructed
NO 15/9-17,2687.0,2686.8,409.5,3556.9,reconstructed
NO 15/9-17,2712.0,2711.8,409.7,3557.1,reconstructed
NO 15/9-17,2713.6,2713.4,409.7,3557.1,reconstructed
NO 15/9-17,2715.2,2715.0,409.7,3557.1,reconstructed
NO 15/9-17,2737.5,2737.2,409.7,3557.2,reconstructed
NO 15/9-17,2759.7,2759.5,409.8,3557.3,reconstructed
NO 15/9-17,2781.9,2781.7,409.9,3557.4,reconstructed
NO 15/9-17,2804.1,2803.9,410.0,3557.6,reconstructed
NO 15/9-17,2826.3,2826.1,410.1,3557.8,reconstructed
NO 15/9-17,2848.6,2848.3,410.2,3557.9,reconstructed
NO 15/9-17,2870.8,2870.6,410.2,3558.1,reconstructed
NO 15/9-19 A,0.0,0.0,-676.0,2456.0,reconstructed
NO 15/9-19 A,106.0,106.0,-676.0,2456.0,reconstructed
NO 15/9-19 A,130.7,130.6,-676.1,2456.0,reconstructed
NO 15/9-19 A,155.5,155.2,-676.1,2456.2,reconstructed
NO 15/9-19 A,180.2,179.9,-676.1,2456.4,reconstructed
NO 15/9-19 A,204.9,204.6,-676.2,2456.7,reconstructed
NO 15/9-19 A,229.6,229.4,-676.2,2457.0,reconstructed
NO 15/9-19 A,254.4,254.2,-676.3,2457.3,reconstructed
NO 15/9-19 A,279.1,279.0,-676.3,2457.6,reconstructed
NO 15/9-19 A,303.8,303.9,-676.3,2457.8,reconstructed
NO 15/9-19 A,328.5,328.8,-676.3,2458.0,reconstructed
NO 15/9-19 A,353.3,353.6,-676.2,2458.1,reconstructed
NO 15/9-19 A,378.0,378.5,-676.2,2458.0,reconstructed
NO 15/9-19 A,402.7,403.3,-676.0,2457.8,reconstructed
NO 15/9-19 A,427.4,428.1,-675.9,2457.4,reconstructed
NO 15/9-19 A,452.2,452.9,-675.6,2456.8,reconstructed
NO 15/9-19 A,476.9,477.7,-675.3,2455.9,reconstructed
NO 15/9-19 A,501.6,502.4,-675.0,2454.9,reconstructed
NO 15/9-19 A,526.4,527.1,-674.6,2453.5,reconstructed
NO 15/9-19 A,551.1,551.7,-674.0,2451.8,reconstructed
NO 15/9-19 A,575.8,576.2,-673.5,2449.8,reconstructed
NO 15/9-19 A,600.5,600.7,-672.8,2447.5,reconstructed
NO 15/9-19 A,625.3,625.1,-672.0,2444.8,reconstructed
NO 15/9-19 A,650.0,649.4,-671.1,2441.6,reconstructed
NO 15/9-19 A,674.7,673.6,-670.1,2438.1,reconstructed
NO 15/9-19 A,699.4,697.7,-669.0,2434.0,reconstructed
NO 15/9-19 A,724.2,721.7,-667.8,2429.6,reconstructed
NO 15/9-19 A,748.9,745.6,-666.4,2424.5,reconstructed
NO 15/9-19 A,773.6,769.3,-664.9,2419.0,reconstructed
NO 15/9-19 A,798.3,792.9,-663.3,2412.9,reconstructed
NO 15/9-19 A,823.1,816.4,-661.5,2406.2,reconstructed
NO 15/9-19 A,847.8,839.7,-659.5,2399.0,reconstructed
NO 15/9-19 A,871.4,861.6,-657.5,2390.9,reconstructed
NO 15/9-19 A,895.0,882.9,-655.3,2381.5,reconstructed
NO 15/9-19 A,918.6,903.7,-652.9,2370.9,reconstructed
NO 15/9-19 A,942.2,923.9,-650.3,2359.2,reconstructed
NO 15/9-19 A,965.8,943.8,-647.4,2346.7,reconstructed
NO 15/9-19 A,989.5,963.2,-644.3,2333.5,reconstructed
NO 15/9-19 A,1013.1,982.4,-640.9,2319.8,reconstructed
NO 15/9-19 A,1036.7,1001.3,-637.2,2305.8,reconstructed
NO 15/9-19 A,1060.3,1020.0,-633.2,2291.7,reconstructed
NO 15/9-19 A,1083.9,1038.6,-628.9,2277.7,reconstructed
NO 15/9-19 A,1107.5,1057.1,-624.2,2263.9,reconstructed
NO 15/9-19 A,1132.5,1075.3,-619.5,2250.4,reconstructed
NO 15/9-19 A,1157.5,1093.3,-614.7,2236.6,reconstructed
NO 15/9-19 A,1182.4,1111.2,-609.8,2222.6,reconstructed
NO 15/9-19 A,1207.4,1128.9,-605.0,2208.4,reconstructed
NO 15/9-19 A,1232.4,1146.5,-600.1,2194.0,reconstructed
NO 15/9-19 A,1257.4,1164.0,-595.2,2179.3,reconstructed
NO 15/9-19 A,1282.4,1181.3,-590.2,2164.5,reconstructed
NO 15/9-19 A,1307.3,1198.5,-585.3,2149.4,reconstructed
NO 15/9-19 A,1332.3,1215.6,-580.3,2134.2,reconstructed
NO 15/9-19 A,1357.3,1232.5,-575.2,2118.8,reconstructed
NO 15/9-19 A,1382.3,1249.4,-570.2,2103.2,reconstructed
NO 15/9-19 A,1407.3,1266.1,-565.1,2087.5,reconstructed
NO 15/9-19 A,1432.2,1282.8,-560.0,2071.6,reconstructed
NO 15/9-19 A,1457.2,1299.3,-554.8,2055.6,reconstructed
NO 15/9-19 A,1482.2,1315.7,-549.6,2039.4,reconstructed
NO 15/9-19 A,1507.2,1332.1,-544.4,2023.1,reconstructed
NO 15/9-19 A,1532.2,1348.4,-539.2,2006.7,reconstructed
NO 15/9-19 A,1557.2,1364.5,-533.9,1990.2,reconstructed
NO 15/9-19 A,1582.1,1380.7,-528.6,1973.6,reconstructed
NO 15/9-19 A,1607.1,1396.7,-523.3,1956.8,reconstructed
NO 15/9-19 A,1632.1,1412.7,-517.9,1940.0,reconstructed
NO 15/9-19 A,1657.1,1428.6,-512.5,1923.1,reconstructed
NO 15/9-19 A,1682.1,1444.4,-507.0,1906.1,reconstructed
NO 15/9-19 A,1707.0,1460.2,-501.6,1889.1,reconstructed
NO 15/9-19 A,1732.0,1475.9,-496.0,1872.0,reconstructed
NO 15/9-19 A,1757.0,1491.6,-490.5,1854.9,reconstructed
NO 15/9-19 A,1782.0,1507.3,-484.9,1837.7,reconstructed
NO 15/9-19 A,1807.0,1522.9,-479.3,1820.4,reconstructed
NO 15/9-19 A,1831.9,1538.5,-473.6,1803.2,reconstructed
NO 15/9-19 A,1856.9,1554.0,-467.9,1785.9,reconstructed
NO 15/9-19 A,1881.9,1569.5,-462.2,1768.7,reconstructed
NO 15/9-19 A,1906.9,1585.0,-456.4,1751.4,reconstructed
NO 15/9-19 A,1931.9,1600.5,-450.6,1734.1,reconstructed
NO 15/9-19 A,1956.8,1616.0,-444.7,1716.9,reconstructed
NO 15/9-19 A,1981.8,1631.5,-438.8,1699.6,reconstructed
NO 15/9-19 A,2006.8,1647.0,-432.8,1682.4,reconstructed
NO 15/9-19 A,2031.8,1662.5,-426.9,1665.3,reconstructed
NO 15/9-19 A,2056.8,1678.0,-420.8,1648.2,reconstructed
NO 15/9-19 A,2081.7,1693.5,-414.8,1631.1,reconstructed
NO 15/9-19 A,2106.7,1709.0,-408.7,1614.1,reconstructed
NO 15/9-19 A,2131.7,1724.5,-402.5,1597.2,reconstructed
NO 15/9-19 A,2156.7,1740.1,-396.3,1580.4,reconstructed
NO 15/9-19 A,2181.7,1755.7,-390.1,1563.6,reconstructed
NO 15/9-19 A,2206.6,1771.3,-383.8,1546.9,reconstructed
NO 15/9-19 A,2231.6,1787.0,-377.5,1530.4,reconstructed
NO 15/9-19 A,2256.6,1802.7,-371.1,1513.9,reconstructed
NO 15/9-19 A,2281.6,1818.4,-364.7,1497.6,reconstructed
NO 15/9-19 A,2306.6,1834.2,-358.2,1481.4,reconstructed
NO 15/9-19 A,2331.5,1850.1,-351.7,1465.3,reconstructed
NO 15/9-19 A,2356.5,1866.0,-345.1,1449.4,reconstructed
NO 15/9-19 A,2381.5,1882.0,-338.5,1433.6,reconstructed
NO 15/9-19 A,2406.5,1898.1,-331.9,1418.0,reconstructed
NO 15/9-19 A,2431.5,1914.2,-325.1,1402.6,reconstructed
NO 15/9-19 A,2456.5,1930.5,-318.4,1387.3,reconstructed
NO 15/9-19 A,2481.4,1946.8,-311.6,1372.2,reconstructed
NO 15/9-19 A,2506.4,1963.1,-304.7,1357.3,reconstructed
NO 15/9-19 A,2531.4,1979.6,-297.8,1342.6,reconstructed
NO 15/9-19 A,2556.4,1996.2,-290.9,1328.1,reconstructed
NO 15/9-19 A,2581.4,2012.9,-283.9,1313.9,reconstructed
NO 15/9-19 A,2606.3,2029.7,-276.8,1299.8,reconstructed
NO 15/9-19 A,2631.3,2046.6,-269.7,1286.0,reconstructed
NO 15/9-19 A,2656.3,2063.6,-262.5,1272.4,reconstructed
NO 15/9-19 A,2681.3,2080.7,-255.3,1259.1,reconstructed
NO 15/9-19 A,2706.3,2098.0,-248.1,1246.0,reconstructed
NO 15/9-19 A,2731.2,2115.3,-240.7,1233.2,reconstructed
NO 15/9-19 A,2756.2,2132.8,-233.3,1220.7,reconstructed
NO 15/9-19 A,2781.2,2150.5,-225.9,1208.4,reconstructed
NO 15/9-19 A,2806.2,2168.3,-218.4,1196.4,reconstructed
NO 15/9-19 A,2831.2,2186.2,-210.9,1184.7,reconstructed
NO 15/9-19 A,2856.1,2204.3,-203.3,1173.3,reconstructed
NO 15/9-19 A,2881.1,2222.5,-195.6,1162.3,reconstructed
NO 15/9-19 A,2906.1,2240.9,-187.9,1151.5,reconstructed
NO 15/9-19 A,2931.1,2259.5,-180.1,1141.1,reconstructed
NO 15/9-19 A,2956.1,2278.2,-172.3,1131.0,reconstructed
NO 15/9-19 A,2981.0,2297.2,-164.4,1121.3,reconstructed
NO 15/9-19 A,3006.0,2316.2,-156.5,1111.9,reconstructed
NO 15/9-19 A,3031.0,2335.5,-148.5,1102.9,reconstructed
NO 15/9-19 A,3056.0,2354.9,-140.4,1094.2,reconstructed
NO 15/9-19 A,3081.0,2374.6,-132.3,1085.9,reconstructed
NO 15/9-19 A,3105.9,2394.4,-124.1,1078.0,reconstructed
NO 15/9-19 A,3130.9,2414.5,-115.8,1070.5,reconstructed
NO 15/9-19 A,3155.9,2434.7,-107.5,1063.4,reconstructed
NO 15/9-19 A,3180.9,2455.1,-99.1,1056.7,reconstructed
NO 15/9-19 A,3203.0,2474.9,-90.9,1053.1,reconstructed
NO 15/9-19 A,3225.1,2495.0,-82.3,1053.9,reconstructed
NO 15/9-19 A,3247.2,2515.2,-73.5,1057.6,reconstructed
NO 15/9-19 A,3269.2,2535.5,-64.5,1062.7,reconstructed
NO 15/9-19 A,3291.3,2555.7,-55.5,1067.7,reconstructed
NO 15/9-19 A,3313.4,2575.9,-46.5,1071.3,reconstructed
NO 15/9-19 A,3336.7,2597.0,-37.1,1073.7,reconstructed
NO 15/9-19 A,3359.9,2618.1,-27.6,1076.1,reconstructed
NO 15/9-19 A,3383.2,2639.1,-18.0,1078.4,reconstructed
NO 15/9-19 A,3406.4,2660.2,-8.5,1080.7,reconstructed
NO 15/9-19 A,3429.7,2681.3,1.1,1083.0,reconstructed
NO 15/9-19 A,3452.9,2702.4,10.5,1085.2,reconstructed
NO 15/9-19 A,3476.2,2723.6,19.8,1087.4,reconstructed
NO 15/9-19 A,3500.0,2745.4,29.1,1089.4,reconstructed
NO 15/9-19 A,3523.7,2767.3,38.3,1091.1,reconstructed
NO 15/9-19 A,3547.5,2789.3,47.4,1092.7,reconstructed
NO 15/9-19 A,3571.3,2811.2,56.4,1094.2,reconstructed
NO 15/9-19 A,3595.1,2833.2,65.4,1096.0,reconstructed
NO 15/9-19 A,3618.9,2855.1,74.4,1098.0,reconstructed
NO 15/9-19 A,3642.7,2877.0,83.3,1100.5,reconstructed
NO 15/9-19 A,3666.5,2898.8,92.4,1103.7,reconstructed
NO 15/9-19 A,3686.6,2917.0,100.0,1107.0,reconstructed
NO 15/9-19 A,3706.7,2935.2,107.5,1110.9,reconstructed
NO 15/9-19 A,3726.8,2953.3,115.1,1115.2,reconstructed
NO 15/9-19 A,3746.9,2971.4,122.7,1119.7,reconstructed
NO 15/9-19 A,3767.0,2989.4,130.2,1124.4,reconstructed
NO 15/9-19 A,3782.0,3002.8,136.0,1128.1,reconstructed
NO 15/9-19 A,3797.0,3016.1,141.7,1132.0,reconstructed
NO 15/9-19 A,3809.2,3027.0,146.2,1135.1,reconstructed
NO 15/9-19 A,3821.5,3038.0,150.8,1138.3,reconstructed
NO 15/9-19 A,3846.0,3060.0,159.6,1144.3,reconstructed
