# RECONSTRUCTED: 15/9-F-11 A definitive survey to 2585 m MD sidetrack point; below, a smooth path through the official Volve formation-pick coordinates (MD/TVD/E/N) of 15/9-F-11 B
MD,INC,AZI,TVD,NS,EW
2747.71,51.434,78.005,2566.26,71.25,-228.28
2752.69,51.857,78.182,2569.33,72.05,-224.47
2757.67,52.290,78.362,2572.38,72.85,-220.64
2762.65,52.733,78.545,2575.40,73.64,-216.79
2767.63,53.184,78.732,2578.39,74.42,-212.91
2772.61,53.645,78.921,2581.34,75.19,-209.00
2777.59,54.116,79.113,2584.27,75.95,-205.07
2782.57,54.596,79.308,2587.16,76.71,-201.11
2787.55,55.086,79.506,2590.01,77.45,-197.13
2792.52,55.518,79.227,2592.83,78.20,-193.13
2797.49,55.939,78.968,2595.61,78.97,-189.12
2802.47,56.350,78.731,2598.37,79.77,-185.09
2807.44,56.749,78.513,2601.10,80.58,-181.04
2812.41,57.138,78.315,2603.80,81.42,-176.97
2817.38,57.515,78.136,2606.48,82.27,-172.88
2822.35,57.881,77.977,2609.13,83.14,-168.78
2827.32,58.235,77.835,2611.75,84.02,-164.67
2832.30,58.578,77.712,2614.35,84.92,-160.53
2837.27,58.910,77.607,2616.93,85.82,-156.38
2842.24,59.231,77.519,2619.48,86.74,-152.22
2847.21,59.540,77.449,2622.02,87.67,-148.04
2852.18,59.837,77.396,2624.53,88.60,-143.85
2857.16,60.124,77.361,2627.02,89.55,-139.65
2862.13,60.399,77.342,2629.48,90.49,-135.43
2867.10,60.663,77.339,2631.93,91.44,-131.20
2872.07,60.916,77.353,2634.37,92.40,-126.96
2877.04,61.157,77.384,2636.78,93.35,-122.70
2882.01,61.388,77.431,2639.18,94.30,-118.44
2886.99,61.608,77.494,2641.55,95.25,-114.16
2891.96,61.816,77.573,2643.92,96.20,-109.87
2896.93,62.014,77.668,2646.27,97.14,-105.57
2901.90,62.201,77.779,2648.60,98.08,-101.27
2906.87,62.377,77.906,2650.92,99.01,-96.95
2911.85,62.542,78.048,2653.22,99.93,-92.62
2916.82,62.697,78.207,2655.52,100.84,-88.29
2921.79,62.841,78.382,2657.80,101.74,-83.95
